sequence,native_EAO_contribution_pp,M67_EAO_contribution_pp,M82_EAO_contribution_pp,M67_EAO_delta_pp,M82_EAO_delta_pp,native_ACC_contribution_pp,M67_ACC_contribution_pp,M82_ACC_contribution_pp,M67_ACC_delta_pp,M82_ACC_delta_pp,native_ROB_contribution_pp,M67_ROB_contribution_pp,M82_ROB_contribution_pp,M67_ROB_delta_pp,M82_ROB_delta_pp
box_darkroom_noocc_6_1,1.4512357809685799,1.437783590080498,1.4043819051773634,-0.013452190888081805,-0.04685387579121647,1.3385167205236401,1.3599280149839448,1.3669730876342974,0.021411294460304653,0.028456367110657244,1.3326562712872023,1.3326562712872023,1.3326562712872023,0.0,0.0
box_darkroom_noocc_7_1,0.5972905200135403,0.5784517236210066,0.561788470131013,-0.01883879639253372,-0.035502049882527364,0.5448149744375539,0.50540073813702,0.5247745621485875,-0.03941423630053387,-0.02004041228896636,0.8292474538531182,0.7617705264956006,0.7952407988891547,-0.06747692735751754,-0.03400665496396349
box_humans_room_occ_1_1,0.18997269982383172,0.18834612468511355,0.18730090250916442,-0.001626575138718167,-0.0026717973146672958,0.23855577430186706,0.2404212590128319,0.24478835494159554,0.0018654847109648431,0.00623258063972848,0.5090350627314499,0.5090350627314499,0.5090350627314499,0.0,0.0
box_room_noocc_3_1,1.4762874347649926,1.4646504989476121,1.4495064863087732,-0.011636935817380456,-0.026780948456219367,1.3868321441364153,1.407934351863978,1.4345822007875089,0.02110220772756266,0.04775005665109355,1.409445015543528,1.409445015543528,1.409445015543528,0.0,0.0
box_room_noocc_4_1,1.629563787228274,1.5994004451234018,1.5612643811092481,-0.03016334210487215,-0.06829940611902585,1.6352830445211477,1.642969017059558,1.6569720011204472,0.007685972538410191,0.02168895659929948,1.561783975923013,1.561783975923013,1.561783975923013,0.0,0.0
box_room_noocc_7_1,1.8576104686714507,1.8322011685639719,1.8191553139644556,-0.025409300107478883,-0.03845515470699512,1.9697217787887078,1.9923217864935292,2.0387208410095004,0.0226000077048214,0.06899906222079255,1.6695359235085026,1.6695359235085026,1.6695359235085026,0.0,0.0
box_room_occ_2_1,0.31005270301925086,0.30927282260242966,0.30638240186273696,-0.0007798804168211992,-0.0036703011565139,0.33388767285909304,0.33869488852637963,0.34281626267815063,0.004807215667286591,0.008928589819057586,0.6811904732415996,0.6811904732415996,0.6811904732415996,0.0,0.0
box_room_occ_2_2,0.026641226403467385,0.02639135155558975,0.026119984580538443,-0.0002498748478776333,-0.0005212418229289424,0.06509178867519917,0.06553820845591782,0.06640554462335145,0.00044641978071864596,0.0013137559481522787,0.28362294249513875,0.28362294249513875,0.28362294249513875,0.0,0.0
boxes_backpack_room_occ_1_2,0.07133137774516203,0.08290052647000778,0.08089706307178783,0.011569148724845754,0.0095656853266258,0.11449223665572661,0.10504640532469732,0.10516826629080493,-0.009445831331029289,-0.009323970364921677,0.3777510806157962,0.3479286268829702,0.3479286268829702,-0.029822453732825993,-0.029822453732825993
boxes_humans_room_occ_1_1,0.03570607655071132,0.03559509822778553,0.035344407344780476,-0.00011097832292578796,-0.0003616692059308438,0.0772388115396547,0.07834470507723024,0.07972386222880383,0.0011058935375755363,0.002485050689149129,0.2922926394273046,0.2922926394273046,0.2922926394273046,0.0,0.0
boxes_humans_room_occ_1_4,0.06119693149344528,0.06116981613149817,0.0669233734757786,-2.7115361947112337e-05,0.005726441982333325,0.09145844553787001,0.0925502101981574,0.0834412985260575,0.0010917646602873893,-0.008017147011812512,0.31308924166827834,0.31375919011692655,0.27289233474938385,0.0006699484486482055,-0.04019690691889449
boxes_humans_room_occ_1_5,0.0057590241240371275,0.0058367626398472495,0.005915295237258786,7.773851581012198e-05,0.0001562711132216581,0.031887125275002176,0.032783396257246675,0.03397347033276335,0.0008962709822444986,0.002086345057761174,0.19197186064081445,0.19197186064081445,0.19197186064081445,0.0,0.0
boxes_room_occ_1_1,0.9106178839130116,0.8612097332158014,0.9420009140439115,-0.04940815069721016,0.031383030130899936,0.7678658269035744,0.7345592129379851,0.7918487639087526,-0.033306613965589316,0.023982937005178173,0.9912751873380218,0.930470352628442,0.990539274058632,-0.06080483470957976,-0.0007359132793898215
boxes_room_occ_1_2,0.03814998674232698,0.03769381278236758,0.03722695179803794,-0.00045617395995940085,-0.000923034944289039,0.08234765026830093,0.0825473315336914,0.08329595302739881,0.0001996812653904667,0.0009483027590978799,0.29105411129413805,0.29105411129413805,0.29105411129413805,0.0,0.0
cartman_1,0.1308238967518814,0.1259426665774338,0.12246532815801373,-0.004881230174447609,-0.008358568593867688,0.17683509663338381,0.17327526503665472,0.17180448725144595,-0.003559831596729096,-0.005030609381937862,0.4694021624701205,0.4694021624701205,0.4694021624701205,0.0,0.0
cartman_robotarm_lab_noocc_1,2.751487910402978,2.6974246565089444,2.6946417379410468,-0.05406325389403355,-0.05684617246193113,4.257109467820507,4.270352834885864,4.386254495765097,0.01324336706535778,0.12914502794459004,2.5426982573909167,2.5426982573909167,2.5426982573909167,0.0,0.0
case_1,0.10795656363886832,0.1055601721181044,0.10408033896233303,-0.0023963915207639297,-0.0038762246765352976,0.15478439515689765,0.1543251082620209,0.15575992440357755,-0.0004592868948767592,0.0009755292466799015,0.43348484660829073,0.43348484660829073,0.43348484660829073,0.0,0.0
cat01_indoor_1,2.0088798593097152,1.9691479370350615,1.9334638536727022,-0.03973192227465372,-0.075416005637013,2.1725711313816256,2.1899590728446245,2.2170351401556436,0.017387941462998935,0.044464008774018016,1.711645880036165,1.711645880036165,1.711645880036165,0.0,0.0
cat01_indoor_3,1.4931390179557487,1.470948241636263,1.4412099891311707,-0.02219077631948574,-0.05192902882457795,1.377817553420027,1.3911734591718887,1.404123252503527,0.01335590575186174,0.0263056990835,1.352472721417867,1.352472721417867,1.352472721417867,0.0,0.0
colacan03_indoor_1,0.0135564341033742,0.013611697446006406,0.013547719589436225,5.5263342632205434e-05,-8.714513937975454e-06,0.05284026765248049,0.053647146890861655,0.05445163770400996,0.0008068792383811654,0.001611370051529469,0.21674242330414537,0.21674242330414537,0.21674242330414537,0.0,0.0
colacan03_indoor_3,0.21680930818421826,0.2176674216241061,0.215962629769931,0.0008581134398878421,-0.0008466784142872608,0.2581029021420548,0.26352785062273515,0.2674063490213788,0.005424948480680369,0.009303446879323995,0.5610532443244448,0.5610532443244448,0.5610532443244448,0.0,0.0
colacan03_indoor_7,0.0335629755899733,0.03331048254517501,0.032917088315931854,-0.00025249304479828955,-0.000645887274041447,0.08072570692758066,0.08134559462903371,0.08225791988630608,0.0006198877014530479,0.0015322129587254235,0.26999913303030676,0.26999913303030676,0.26999913303030676,0.0,0.0
container_room_noocc_1_1,2.3446008783276366,2.306827425446783,2.2753213735102777,-0.037773452880853764,-0.0692795048173589,2.993629906829222,3.027847282485729,3.081120317066828,0.034217375656507176,0.0874904102376064,2.029947610259967,2.029947610259967,2.029947610259967,0.0,0.0
cube02_indoor_1,0.446317450842429,0.44579165174440105,0.40455557646638,-0.0005257990980279681,-0.041761874376049,0.3103456521886608,0.3165251134362304,0.2834790282561051,0.006179461247569629,-0.026866623932555678,0.5282213845136615,0.5282213845136615,0.4658339914638357,0.0,-0.06238739304982582
cube02_indoor_2,0.4174959451975246,0.4186227921740723,0.41315965407187627,0.0011268469765476907,-0.004336291125648317,0.4234784259660274,0.4324629049540462,0.3956050230218868,0.008984478988018796,-0.02787340294414059,0.7307315985682615,0.7307315985682615,0.6577076959813085,0.0,-0.07302390258695302
cube05_indoor_1,0.017875846522073056,0.019595671632880163,0.0012908739477130533,0.0017198251108071078,-0.016584972574360004,0.018240671587126275,0.01929718150403501,0.020263357298135398,0.001056509916908737,0.002022685711009123,0.09272511796980468,0.09630523835473924,0.10060138281666069,0.0035801203849345625,0.00787626484685601
cube05_indoor_2,0.005110173569662456,0.005115000493540089,0.005006118699381308,4.8269238776326925e-06,-0.00010405487028114849,0.03074630113280926,0.03165169986475993,0.03176936495349611,0.0009053987319506684,0.0010230638206868495,0.18082510744231556,0.18082510744231556,0.18082510744231556,0.0,0.0
cube05_indoor_3,0.07118836591032944,0.07090376181901538,0.06957204237587274,-0.0002846040913140613,-0.001616323534456704,0.11884648316083544,0.12024859536596151,0.12075073802421772,0.001402112205126066,0.0019042548633822765,0.3616502148846311,0.3616502148846311,0.3616502148846311,0.0,0.0
cube05_indoor_4,0.17944251631186087,0.0940785430977121,0.15548639616493337,-0.08536397321414876,-0.023956120146927495,0.11420343296265867,0.11934701689790064,0.1077534737708002,0.005143583935241974,-0.006449959191858465,0.35389624622589405,0.36627024084917703,0.33094811074271463,0.01237399462328298,-0.02294813548317942
cube05_indoor_5,0.23435714778793523,0.2363271056104274,0.21671737689056741,0.00196995782249218,-0.017639770897367818,0.12475449315986736,0.12852099291344807,0.13899149659513468,0.0037664997535807043,0.01423700343526732,0.29914354946893923,0.29899979956530204,0.3010122982162224,-0.00014374990363719142,0.0018687487472831554
cube05_indoor_6,0.7043536771880221,0.7179071885188718,0.6439160710628481,0.013553511330849699,-0.060437606125174015,0.6139300622967229,0.5978308121237115,0.5776402789498936,-0.016099250173011392,-0.03628978334682931,0.8815273146667951,0.851295512596687,0.8277707659527289,-0.030231802070108116,-0.05375654871406621
cup01_indoor_1,0.6762375828040216,0.6720310046620404,0.6414095686834852,-0.004206578141981221,-0.03482801412053638,0.6034714431412666,0.6132204718737155,0.5308502538062637,0.009749028732448983,-0.07262118933500283,0.9338502124075748,0.9338502124075748,0.8165506238967889,0.0,-0.11729958851078592
