sequence,frames,control_p,control_r,control_all_box_r,old_m82_p,old_m82_r,old_m82_all_box_r,delta_r,delta_all_box_r,sustained_new_only_runs,sustained_new_only_frames,longest_new_only_run
box_darkroom_noocc_5,2241,84.67988779673607,83.75188902636089,83.89752766417624,82.11264561271481,81.66271330798762,81.9780242388934,2.0891757183732693,1.9195034252828407,1,10,10
box_darkroom_noocc_6,1081,84.32784473315189,84.01580830490711,84.25106328200502,84.11315954644891,82.32351785397127,83.8207022225777,1.6922904509358432,0.4303610594273266,0,0,0
box_darkroom_noocc_7,702,78.851893475122,73.79728491902443,77.1508273448003,84.13117208242093,79.21752812888923,82.50486132181224,-5.420243209864793,-5.354033977011937,0,0,0
box_darkroom_noocc_8,863,85.76420165637971,81.66591229983943,82.3297836908608,84.32411597111835,82.35851886223448,83.59235395444699,-0.6926065623950421,-1.2625702635861984,1,22,22
box_darkroom_noocc_9,758,82.42487180958528,81.11999257249423,82.31337889363283,80.24733645435175,79.29453166795444,80.11233210796672,1.8254609045397814,2.201046785666108,0,0,0
box_humans_room_occ_1,1098,86.05227117794284,79.23055340547937,79.58506764990805,86.18609136085243,87.25621474928708,87.77039205635248,-8.025661343807712,-8.185324406444423,1,110,110
box_room_noocc_1,952,67.55608430151679,60.769628344286794,62.1290581831186,75.15193674795246,71.97771110905494,72.43996565095459,-11.208082764768143,-10.310907467835989,2,69,45
box_room_noocc_2,406,88.24037189202254,88.24037189202254,88.24037189202254,88.11765556929245,88.11765556929245,88.11765556929245,0.12271632273008493,0.12271632273008493,0,0,0
box_room_noocc_3,1143,79.97202458796555,77.8030545422727,79.94831885775511,79.92301086178811,79.64331528571887,79.9200734374655,-1.8402607434461657,0.028245420289607637,0,0,0
box_room_noocc_4,1266,83.20871594767968,82.94581321166805,83.19532075287053,81.72430747136366,80.56235049309782,81.64163789251411,2.383462718570229,1.5536828603564175,0,0,0
box_room_noocc_5,1319,86.46448836836817,86.46448836836817,86.46448836836817,86.11959022767164,86.11959022767164,86.11959022767164,0.3448981406965288,0.3448981406965288,0,0,0
box_room_noocc_6,1128,90.12000224331999,89.64064052925977,89.97765742645262,87.56296218609458,87.25245522798785,87.52206747386843,2.3881853012719176,2.455589952584191,0,0,0
box_room_noocc_7,1353,85.24675834969615,85.24675834969615,85.24675834969615,83.82739550393768,83.82739550393768,83.82739550393768,1.4193628457584708,1.4193628457584708,0,0,0
box_room_noocc_8,1058,83.48289035623705,83.48289035623705,83.48289035623705,81.53729183212249,81.53729183212249,81.53729183212249,1.9455985241145584,1.9455985241145584,0,0,0
box_room_noocc_9,1376,82.3851946613573,82.32123100090594,82.55317992300087,81.12448887160045,81.12448887160045,81.30917938034197,1.1967421293054912,1.2440005426588954,0,0,0
box_room_occ_1,1857,42.989666541120855,54.208327753054085,56.41746483755017,34.506771382662144,45.1223622959988,45.434506582303854,9.085965457055288,10.982958255246317,0,0,0
box_room_occ_2,1447,64.8553692868816,65.56506608884243,66.63653766519447,51.80658695660662,58.435039159808824,60.80684573440709,7.130026929033605,5.8296919307873765,0,0,0
boxes_backpack_room_occ_1,1133,27.636646185114717,27.119219990018955,28.32878507300336,47.48996754699578,39.85391549648765,41.876590522288126,-12.734695506468697,-13.547805449284766,1,153,153
boxes_humans_room_occ_1,2311,37.02343913487752,17.493275448841803,19.555140717671396,39.76291319619454,46.99058404145752,47.81527112253151,-29.497308592615713,-28.260130404860117,8,681,311
boxes_office_occ_1,1266,48.566384020846954,43.38387578256741,46.3277807121465,51.53216445036838,46.78304015987364,50.55271655969853,-3.399164377306235,-4.224935847552032,3,90,45
