condition,episode,valid_frames,mean_iou,low_iou_frames,H10_episodes,invalid_gt_frames
multi_M78_category,container01_indoor:0,447,0.9333130658931877,1,0,97
multi_M78_category,container01_indoor:544,174,0.8974107115063404,3,0,42
multi_M78_category,cup08_indoor:0,436,0.8982084276580842,0,0,76
multi_M78_category,cup08_indoor:512,459,0.8841867475959707,1,0,53
multi_M78_category,cup08_indoor:1024,426,0.890508235413355,0,0,0
multi_M78_category,cup10_indoor:0,509,0.903372091660246,0,0,3
multi_M78_category,cup10_indoor:512,512,0.9250116552102955,5,0,0
multi_M78_category,cup10_indoor:1024,507,0.8624924661634227,0,0,5
multi_M78_category,cup10_indoor:1536,472,0.7769496399406699,63,1,40
multi_M78_category,cup10_indoor:2048,147,0.8486433288330297,6,0,0
multi_M78_category,cup13_indoor:0,508,0.847076076506254,1,0,4
multi_M78_category,cup13_indoor:512,466,0.8118061833326387,0,0,78
multi_M78_category,cup13_indoor:1056,507,0.8158999453893339,6,0,5
multi_M78_category,cup13_indoor:1568,177,0.7414543380954408,15,1,16
multi_M78_category,egg_indoor:0,442,0.1222538902882919,378,4,70
multi_M78_category,egg_indoor:512,512,0.7882728599302753,37,1,0
multi_M78_category,egg_indoor:1024,479,0.768013373222345,61,2,33
multi_M78_category,egg_indoor:1536,512,0.899920609594085,13,1,0
multi_M78_category,egg_indoor:2048,512,0.8571110509010844,0,0,0
multi_M78_category,egg_indoor:2560,497,0.40504976131924997,268,1,15
multi_M78_category,egg_indoor:3072,479,0.8723018343742376,0,0,0
multi_M78_category,flower02_wild:0,358,0.8014487284960532,15,0,154
multi_M78_category,flower02_wild:512,109,0.73586345697027,12,0,34
multi_M78_category,flower03_indoor:0,367,0.8473825781709949,0,0,145
multi_M78_category,flower03_indoor:512,180,0.8540118304668359,0,0,51
multi_M78_category,flowerbasket_indoor:0,427,0.6220614181646442,129,1,85
multi_M78_category,flowerbasket_indoor:512,424,0.6778189185978968,97,1,64
multi_M78_category,ghostmask_indoor:0,464,0.8942488961181397,3,0,48
multi_M78_category,ghostmask_indoor:512,424,0.8190703530749024,6,0,88
multi_M78_category,ghostmask_indoor:1024,137,0.8655800110715911,4,0,3
multi_M78_category,glass03_indoor:0,429,0.22415883827982958,327,4,83
multi_M78_category,glass03_indoor:512,141,0.9440021353859789,0,0,21
multi_M78_category,mobilephone01_indoor:0,509,0.8951480451965641,0,0,3
multi_M78_category,mobilephone01_indoor:512,400,0.5852948308583626,130,3,144
multi_M78_category,mobilephone01_indoor:1056,308,0.867533226726784,5,0,53
multi_M78_category,mobilephone02_indoor:0,422,0.8429314688001545,3,0,90
multi_M78_category,mobilephone02_indoor:512,188,0.8470782061748336,0,0,0
multi_M78_category,notebook02_indoor:0,512,0.9002903677578545,0,0,0
multi_M78_category,notebook02_indoor:512,461,0.8803911459562047,1,0,51
multi_M78_category,notebook02_indoor:1024,471,0.8586754970542988,7,0,41
multi_M78_category,notebook02_indoor:1536,463,0.7819932313027125,34,1,49
multi_M78_category,notebook02_indoor:2048,502,0.8797555411706044,10,0,10
multi_M78_category,notebook02_indoor:2560,85,0.9523376338645839,0,0,0
multi_M78_empty_trained,bag05_indoor:0,355,0.8438282025744511,4,0,157
multi_M78_empty_trained,bag05_indoor:512,232,0.7848487299389963,22,1,144
multi_M78_empty_trained,ball07_indoor:0,514,0.8702862729133737,34,2,30
multi_M78_empty_trained,ball07_indoor:544,423,0.8398189971722158,25,1,185
multi_M78_empty_trained,ball07_indoor:1152,476,0.6766775063397008,128,3,36
multi_M78_empty_trained,ball07_indoor:1664,512,0.9404502990710402,0,0,0
multi_M78_empty_trained,ball07_indoor:2176,254,0.36644724341045787,153,2,88
multi_M78_empty_trained,ball19_indoor:0,512,0.8435090844826066,9,0,0
multi_M78_empty_trained,ball19_indoor:512,512,0.8367421252428359,14,1,0
multi_M78_empty_trained,ball19_indoor:1024,356,0.8673436406418814,0,0,0
multi_M78_empty_trained,beautifullight01_indoor:0,421,0.8531289138104806,14,1,91
multi_M78_empty_trained,beautifullight01_indoor:512,290,0.09032022983701674,259,6,222
